Key,ParentId,Name,Channel,Channel Parent,Customer Since,Industry,Location,Sales Manager,Salesperson
C000069,C1000,Vast Holdings Holdings,Wholesale,Total Channel,11/11/2008,Technology,DE,Jim Halpert,Lane Mccan
C000070,C1000,Stellar Solutions Synergies,Wholesale,Total Channel,12/7/2020,Manufacturing,GB,Ricky Roma,Jonathan Wong
C000071,C1000,Hyper Management Consortium,Distributor,Total Channel,10/13/2010,Manufacturing,SA,Saul Goodman,Clarita Kiefer
C000072,C1000,Robust Development Holdings,Distributor,Total Channel,1/13/2011,Retail,FI,Don Draper,Carrie Conrad
C000073,C1000,Advanced Fabrication Works,Private Label,Total Channel,1/10/2016,Agriculture,CA-ON,Ricky Roma,Mikel Perez
C000074,C1000,Pioneering Horizons Analytics,Private Label,Total Channel,1/13/2018,Technology,IN,Ricky Roma,Jacqueline Lo
C000075,C1000,Empowered Projects Solutions,Private Label,Total Channel,8/25/2016,Finance,DE,Ricky Roma,Lane Mccan
C000076,C1000,Profound Enterprises Analytics,Wholesale,Total Channel,6/29/2019,Finance,GB,Don Draper,Clarita Kiefer
C000077,C1000,Bold Ventures Global,Private Label,Total Channel,6/16/2014,Technology,CA-BC,Saul Goodman,Shad Jensen
C000078,C1000,Unified Ventures Development,Private Label,Total Channel,1/5/2017,Finance,SA,Jim Halpert,Inez Santos
C000079,C1000,Visionary Synthesis Inc.,Wholesale,Total Channel,12/22/2019,Technology,FR,Ricky Roma,Jean Saheed
C000080,C1000,Quantum Agencies Partners,Wholesale,Total Channel,1/14/2014,Technology,US-IL,Don Draper,Mollie Ahmed
C000081,C1000,Revolutionary Operations Dynamics,Wholesale,Total Channel,2/16/2019,Finance,AR,Ricky Roma,Jean Saheed
C000082,C1000,Quantum Mechanisms Ventures,Retail,Total Channel,6/15/2008,Retail,SA,Don Draper,Inez Santos
C000083,C1000,Revolutionary Partners Ventures,Distributor,Total Channel,2/23/2010,Manufacturing,SE,Saul Goodman,Kirby Booth
C000084,C1000,Driven Holdings Dynamics,Distributor,Total Channel,9/18/2021,Finance,CA-AB,Don Draper,Jean Saheed
C000085,C1000,Empowered Industries Co.,Distributor,Total Channel,12/12/2014,Technology,GB,Saul Goodman,Jacqueline Lo
C000086,C1000,Noble Technologies Global,Private Label,Total Channel,1/4/2010,Construction,CA-ON,Saul Goodman,Jean Saheed
C000087,C1000,Modern Agencies Frameworks,Retail,Total Channel,2/8/2012,Construction,CA-AB,Jim Halpert,Inez Santos
C000088,C1000,Brilliant Protocols Innovations,Retail,Total Channel,6/23/2016,Technology,AU,Ricky Roma,Shad Jensen
C000089,C1000,Hyper Consulting Network,Retail,Total Channel,12/16/2009,Finance,FR,Jim Halpert,Clarita Kiefer
C000090,C1000,Premier Research Group,Retail,Total Channel,2/8/2011,Retail,US-IL,Ricky Roma,Kristy Mejia
C000091,C1000,Visionary Engineering Ventures,Wholesale,Total Channel,4/2/2022,Finance,US-TX,Jim Halpert,Jonathan Wong
C000092,C1000,Progressive Logistics Solutions,Wholesale,Total Channel,1/11/2008,Agriculture,US-CA,Ricky Roma,Inez Santos
C000093,C1000,Superior Labworks Innovations,Distributor,Total Channel,9/25/2020,Finance,DE,Ricky Roma,Kirby Booth
C000094,C1000,Innovative Management Solutions,Wholesale,Total Channel,8/24/2015,Finance,FR,Don Draper,Celina Kaiser
C000095,C1000,Virtual Holdings Partners,Wholesale,Total Channel,5/24/2008,Manufacturing,SA,Jim Halpert,Mikel Perez
C000096,C1000,Collaborative Holdings Technologies,Private Label,Total Channel,7/7/2015,Agriculture,ZA,Ricky Roma,Eloise Villaneuva
C000097,C1000,Precise Analytics Partners,Distributor,Total Channel,7/2/2010,Manufacturing,GB,Jim Halpert,Carrie Conrad
C000098,C1000,Vast Operations Enterprises,Private Label,Total Channel,1/30/2013,Agriculture,US-NY,Ricky Roma,Jackie Chow
C000099,C1000,Virtual Insights Solutions,Wholesale,Total Channel,6/28/2022,Finance,SA,Ricky Roma,Mikel Perez
C000100,C1000,Expansive Consulting Ventures,Retail,Total Channel,12/5/2019,Finance,CA-AB,Don Draper,Mikel Perez
C000101,C1000,Advanced Protocols Network,Private Label,Total Channel,6/2/2020,Retail,CA-BC,Jim Halpert,Kristy Mejia
C000102,C1000,Digital Projects Co.,Wholesale,Total Channel,8/20/2014,Construction,US-CA,Don Draper,Lakeisha Grimes
C000103,C1000,Intelligent Solutions Group,Distributor,Total Channel,2/11/2018,Finance,ZA,Jim Halpert,Shad Jensen
C000104,C1000,Modern Productions Consortium,Distributor,Total Channel,2/19/2012,Manufacturing,BR,Saul Goodman,Kirby Booth
C000105,C1000,Streamlined Synthesis Analytics,Private Label,Total Channel,10/8/2015,Technology,CA-BC,Ricky Roma,Carrie Conrad
C000106,C1000,Precise Synthesis Group,Retail,Total Channel,7/2/2015,Construction,CA-BC,Jim Halpert,Lane Mccan
C000107,C1000,Elevated Agencies Ventures,Distributor,Total Channel,3/18/2018,Finance,US-IL,Jim Halpert,Mollie Ahmed
C000108,C1000,Global Concepts Corporation,Wholesale,Total Channel,4/27/2021,Construction,GB,Saul Goodman,Deandre Rushubak
C000109,C1000,Hyper Labworks Analytics,Private Label,Total Channel,3/8/2021,Construction,ZA,Saul Goodman,Inez Santos
C000110,C1000,Visionary Networks Analytics,Distributor,Total Channel,6/23/2009,Agriculture,DE,Saul Goodman,Mikel Perez
C000111,C1000,Agile Agencies Enterprises,Distributor,Total Channel,10/26/2019,Retail,US-CA,Ricky Roma,Jackie Chow
C000112,C1000,Progressive Focus Ventures,Distributor,Total Channel,1/15/2021,Technology,FR,Don Draper,Mavis Carrillo
C000113,C1000,Profound Partners Industries,Wholesale,Total Channel,6/29/2008,Agriculture,FI,Jim Halpert,Celina Kaiser
C000114,C1000,Advanced Management Analytics,Wholesale,Total Channel,7/28/2010,Construction,FI,Ricky Roma,Shad Jensen
C000115,C1000,Optimized Labs Corporation,Retail,Total Channel,6/22/2018,Retail,DE,Don Draper,Christa Peters
C000116,C1000,Cutting-Edge Analytics Consulting,Distributor,Total Channel,5/29/2022,Construction,US-AZ,Jim Halpert,Lane Mccan
C000117,C1000,Elevated Innovations Group,Retail,Total Channel,3/22/2011,Retail,US-AZ,Jim Halpert,Matt Lew
C000118,C1000,Superior Research Holdings,Wholesale,Total Channel,4/23/2023,Construction,CA-AB,Saul Goodman,Christa Peters
C000119,C1000,Premier Creations Development,Private Label,Total Channel,8/29/2019,Construction,ZA,Don Draper,Carrie Conrad
C000120,C1000,Modern Networks Development,Private Label,Total Channel,2/23/2020,Manufacturing,FI,Ricky Roma,Carrie Conrad
C000121,C1000,Collaborative Connections Synergies,Wholesale,Total Channel,3/18/2021,Manufacturing,GB,Saul Goodman,Lakeisha Grimes
C000122,C1000,Elevated Technologies Partners,Retail,Total Channel,7/17/2013,Construction,GB,Jim Halpert,Jean Saheed
C000123,C1000,Superior Innovations Partners,Retail,Total Channel,3/30/2011,Construction,US-TX,Ricky Roma,Inez Santos
C000124,C1000,High-Tech Productions Enterprises,Wholesale,Total Channel,2/11/2023,Technology,AR,Jim Halpert,Shad Jensen
C000125,C1000,Empowered Development Ventures,Distributor,Total Channel,10/30/2008,Construction,AR,Saul Goodman,Kristy Mejia
C000126,C1000,Hyper Technologies Dynamics,Wholesale,Total Channel,5/3/2011,Agriculture,US-TX,Ricky Roma,Jacqueline Lo
C000127,C1000,Noble Focus Technologies,Private Label,Total Channel,12/22/2014,Construction,US-NY,Don Draper,Lakeisha Grimes
C000128,C1000,Collaborative Productions Consortium,Wholesale,Total Channel,12/26/2016,Agriculture,US-AZ,Saul Goodman,Mollie Ahmed
C000129,C1000,Unified Ventures Enterprises,Distributor,Total Channel,11/27/2014,Technology,BR,Ricky Roma,Jean Saheed
C000130,C1000,Streamlined Dynamics International,Wholesale,Total Channel,6/11/2021,Retail,US-CA,Saul Goodman,Lakeisha Grimes
C000131,C1000,Elite Nexus Consultants,Retail,Total Channel,4/22/2023,Technology,ZA,Ricky Roma,Carrie Conrad
C000132,C1000,Unified Protocols Inc.,Distributor,Total Channel,1/13/2012,Retail,US-CA,Don Draper,Deandre Rushubak
C000133,C1000,Optimized Dynamics Works,Retail,Total Channel,6/24/2012,Technology,US-NY,Saul Goodman,Mollie Ahmed
C000134,C1000,Streamlined Protocols Corporation,Wholesale,Total Channel,8/1/2021,Agriculture,US-IL,Don Draper,Jacqueline Lo
C000135,C1000,Velocity Networks Analytics,Retail,Total Channel,10/22/2017,Construction,GB,Don Draper,Jonathan Wong
C000136,C1000,Streamlined Research Industries,Private Label,Total Channel,6/19/2016,Manufacturing,ZA,Don Draper,Deandre Rushubak
C000137,C1000,Future Research Works,Retail,Total Channel,10/5/2020,Technology,US-TX,Don Draper,Carrie Conrad
C000138,C1000,Hyper Tech Holdings,Retail,Total Channel,8/18/2018,Technology,US-CA,Saul Goodman,Jackie Chow
C000139,C1000,Unified Labworks Enterprises,Private Label,Total Channel,1/16/2020,Construction,US-AZ,Ricky Roma,Clarita Kiefer
C000140,C1000,Advanced Synthesis Solutions,Private Label,Total Channel,8/28/2020,Manufacturing,CA-AB,Don Draper,Mikel Perez
C000141,C1000,Pioneering Management Enterprises,Private Label,Total Channel,8/3/2012,Retail,SA,Ricky Roma,Deandre Rushubak
C000142,C1000,Bold Matrix Frameworks,Wholesale,Total Channel,12/28/2018,Manufacturing,DE,Jim Halpert,Clarita Kiefer
C000143,C1000,Agile Labs Solutions,Wholesale,Total Channel,3/16/2010,Agriculture,US-AZ,Saul Goodman,Celina Kaiser
C000144,C1000,Vibrant Development Enterprises,Wholesale,Total Channel,5/24/2010,Retail,US-FL,Jim Halpert,Inez Santos
C000145,C1000,Comprehensive Innovations Holdings,Distributor,Total Channel,12/31/2009,Finance,AU,Ricky Roma,Mavis Carrillo
C000146,C1000,Visionary Analytics Industries,Private Label,Total Channel,3/5/2020,Agriculture,US-TX,Saul Goodman,Lakeisha Grimes
C000147,C1000,Quantum Connections Partners,Distributor,Total Channel,1/30/2018,Construction,SA,Ricky Roma,Jackie Chow
C000148,C1000,Premier Partners Resources,Private Label,Total Channel,7/19/2013,Retail,US-IL,Jim Halpert,Jacqueline Lo
C000149,C1000,Bold Global Holdings,Wholesale,Total Channel,10/20/2012,Technology,US-CA,Jim Halpert,Lakeisha Grimes
C000150,C1000,High-Tech Creations Consultants,Wholesale,Total Channel,8/10/2008,Retail,ZA,Don Draper,Christa Peters
C000151,C1000,Precise Innovations Holdings,Wholesale,Total Channel,1/13/2022,Retail,AU,Ricky Roma,Mollie Ahmed
C000152,C1000,Cutting-Edge Concepts Co.,Wholesale,Total Channel,9/13/2020,Construction,AU,Saul Goodman,Kristy Mejia
C000153,C1000,Robust Enterprises Resources,Private Label,Total Channel,6/13/2020,Finance,IN,Jim Halpert,Lane Mccan
C000154,C1000,High-Tech Frameworks Ltd.,Wholesale,Total Channel,11/15/2022,Agriculture,US-FL,Saul Goodman,Inez Santos
C000155,C1000,Elite Research Technologies,Private Label,Total Channel,4/21/2020,Technology,US-TX,Jim Halpert,Jacqueline Lo
C000156,C1000,Strategic Holdings Analytics,Distributor,Total Channel,9/22/2014,Finance,AU,Don Draper,Kristy Mejia
C000157,C1000,Comprehensive Initiatives Enterprises,Wholesale,Total Channel,8/10/2017,Agriculture,FI,Jim Halpert,Clarita Kiefer
C000158,C1000,Evolving Technologies Ventures,Retail,Total Channel,9/8/2009,Manufacturing,CA-AB,Saul Goodman,Eloise Villaneuva
C000159,C1000,High-Tech Research Co.,Wholesale,Total Channel,3/1/2023,Manufacturing,SE,Jim Halpert,Carrie Conrad
C000160,C1000,Agile Dynamics Ventures,Retail,Total Channel,4/18/2017,Retail,SE,Jim Halpert,Jackie Chow
C000161,C1000,Superior Holdings Development,Distributor,Total Channel,5/14/2009,Retail,FI,Ricky Roma,Mollie Ahmed
C000162,C1000,Elite Logistics Holdings,Distributor,Total Channel,9/19/2016,Retail,US-NY,Jim Halpert,Inez Santos
C000163,C1000,Quantum Labs Consultants,Retail,Total Channel,12/14/2014,Finance,BR,Ricky Roma,Deandre Rushubak
C000164,C1000,Profound Networks Enterprises,Wholesale,Total Channel,5/24/2020,Technology,AU,Ricky Roma,Mikel Perez
C000165,C1000,Digital Productions Solutions,Private Label,Total Channel,5/7/2014,Retail,ZA,Don Draper,Matt Lew
C000166,C1000,Revolutionary Analytics Development,Distributor,Total Channel,7/8/2023,Retail,IN,Ricky Roma,Jean Saheed
C000167,C1000,Digital Concepts Holdings,Retail,Total Channel,8/7/2022,Construction,CA-ON,Saul Goodman,Kirby Booth
C000168,C1000,Streamlined Operations Ltd.,Wholesale,Total Channel,1/15/2023,Construction,CA-AB,Don Draper,Clarita Kiefer
C000169,C1000,Superior Partners Group,Retail,Total Channel,8/18/2015,Agriculture,US-FL,Jim Halpert,Lane Mccan
C000170,C1000,Adaptive Systems Group,Private Label,Total Channel,5/29/2021,Manufacturing,CA-AB,Don Draper,Mavis Carrillo
C000171,C1000,Infinite Networks Industries,Wholesale,Total Channel,7/7/2016,Retail,US-NY,Jim Halpert,Jackie Chow
C000172,C1000,Revolutionary Management Frameworks,Distributor,Total Channel,8/31/2015,Construction,US-IL,Saul Goodman,Matt Lew
C000173,C1000,Collaborative Designs Resources,Private Label,Total Channel,2/25/2008,Manufacturing,US-TX,Don Draper,Clarita Kiefer
C000174,C1000,Advanced Frameworks Enterprises,Wholesale,Total Channel,10/23/2013,Agriculture,CA-BC,Don Draper,Matt Lew
C000175,C1000,Dynamic Resources Network,Retail,Total Channel,9/14/2014,Agriculture,AR,Don Draper,Jackie Chow
C000176,C1000,Hyper Dynamics Co.,Distributor,Total Channel,7/17/2022,Retail,US-NY,Ricky Roma,Celina Kaiser
C000177,C1000,Optimized Systems Technologies,Retail,Total Channel,10/24/2022,Retail,FI,Don Draper,Kristy Mejia
C000178,C1000,Advanced Solutions Technologies,Wholesale,Total Channel,12/26/2010,Construction,CA-BC,Don Draper,Matt Lew
C000179,C1000,Vast Research Dynamics,Retail,Total Channel,4/12/2016,Manufacturing,AR,Jim Halpert,Matt Lew
C000180,C1000,Advanced Planning Corporation,Retail,Total Channel,7/20/2010,Retail,US-CA,Jim Halpert,Inez Santos
C000181,C1000,Cutting-Edge Projects Dynamics,Wholesale,Total Channel,4/23/2009,Construction,SA,Jim Halpert,Celina Kaiser
C000182,C1000,Virtual Networks Solutions,Private Label,Total Channel,7/11/2021,Retail,CA-AB,Jim Halpert,Celina Kaiser
C000183,C1000,Velocity Enterprises Innovations,Distributor,Total Channel,6/21/2016,Agriculture,US-FL,Jim Halpert,Jean Saheed
C000184,C1000,Adaptive Logistics Co.,Retail,Total Channel,9/3/2019,Retail,US-AZ,Don Draper,Jacqueline Lo
C000185,C1000,Velocity Projects Development,Retail,Total Channel,4/19/2021,Agriculture,US-AZ,Ricky Roma,Carrie Conrad
C000186,C1000,Premier Matrix Partners,Private Label,Total Channel,12/18/2018,Finance,US-NY,Ricky Roma,Matt Lew
C000187,C1000,Unified Frameworks Works,Distributor,Total Channel,6/15/2016,Agriculture,AU,Jim Halpert,Matt Lew
C000188,C1000,Quantum Logistics Analytics,Retail,Total Channel,12/6/2014,Finance,GB,Ricky Roma,Jean Saheed
C000189,C1000,Energetic Planning Holdings,Retail,Total Channel,5/15/2016,Finance,FI,Don Draper,Lakeisha Grimes
C000190,C1000,Evolving Innovations Consortium,Distributor,Total Channel,10/11/2021,Retail,CA-BC,Don Draper,Eloise Villaneuva
C000191,C1000,Dynamic Concepts Works,Retail,Total Channel,12/7/2020,Finance,FR,Don Draper,Shad Jensen
C000192,C1000,Innovative Matrix Group,Retail,Total Channel,8/27/2019,Finance,DE,Don Draper,Carrie Conrad
C000193,C1000,Digital Projects Industries,Distributor,Total Channel,2/18/2021,Finance,SE,Don Draper,Clarita Kiefer
C000194,C1000,Elevated Horizons Solutions,Wholesale,Total Channel,4/5/2010,Construction,BR,Ricky Roma,Jacqueline Lo
C000195,C1000,Evolving Labs Network,Wholesale,Total Channel,10/12/2021,Finance,SA,Jim Halpert,Eloise Villaneuva
C000196,C1000,Dynamic Matrix Holdings,Private Label,Total Channel,11/15/2019,Technology,CA-AB,Don Draper,Mollie Ahmed
C000197,C1000,Dynamic Frameworks Resources,Private Label,Total Channel,4/19/2009,Manufacturing,CA-BC,Saul Goodman,Inez Santos
C000198,C1000,Future Analytics Enterprises,Retail,Total Channel,12/12/2022,Technology,CA-ON,Saul Goodman,Kristy Mejia
C000199,C1000,Optimized Agencies Consortium,Distributor,Total Channel,9/30/2022,Construction,DE,Don Draper,Jean Saheed
C000200,C1000,Noble Mechanisms Partners,Wholesale,Total Channel,1/5/2010,Finance,GB,Don Draper,Jackie Chow
C000201,C1000,Adaptive Connections Industries,Retail,Total Channel,9/6/2009,Agriculture,DE,Jim Halpert,Shad Jensen
C000202,C1000,Stellar Insights Synergies,Retail,Total Channel,2/20/2016,Agriculture,ZA,Saul Goodman,Shad Jensen
C000203,C1000,Velocity Labworks Enterprises,Retail,Total Channel,7/17/2023,Agriculture,AR,Jim Halpert,Mollie Ahmed
C000204,C1000,Revolutionary Operations Solutions,Wholesale,Total Channel,2/2/2011,Technology,SA,Ricky Roma,Kirby Booth
C000205,C1000,Pioneering Partners International,Private Label,Total Channel,6/22/2012,Manufacturing,US-AZ,Jim Halpert,Deandre Rushubak
C000206,C1000,Advanced Structures Partners,Retail,Total Channel,1/12/2015,Technology,US-IL,Ricky Roma,Kristy Mejia
C000207,C1000,Infinite Concepts Technologies,Retail,Total Channel,9/16/2017,Retail,AU,Don Draper,Matt Lew
C000208,C1000,Hyper Analytics Innovations,Wholesale,Total Channel,8/11/2013,Finance,ZA,Saul Goodman,Carrie Conrad
C000209,C1000,Noble Concepts Co.,Wholesale,Total Channel,5/23/2015,Finance,FI,Don Draper,Eloise Villaneuva
C000210,C1000,Elite Labworks Development,Distributor,Total Channel,3/3/2017,Agriculture,US-NY,Don Draper,Mollie Ahmed
C000211,C1000,Energetic Agencies Partners,Retail,Total Channel,9/29/2012,Construction,ZA,Saul Goodman,Lane Mccan
C000212,C1000,Elevated Projects Enterprises,Distributor,Total Channel,12/28/2020,Finance,CA-ON,Saul Goodman,Matt Lew
